DW_TEMPO;invoice_date;Ano;Mes;Dia;Trimestre
600909fcf3d677fc16c646cf2e0475f82086f1d1b4f2ad5fe6674dd0a0f97f9f;2017-10-11 00:00:00;2017;10;11;4
8dec7bdb22b836b50776c385633930dd71e7019130b40066225ec9a83a1ded1b;2018-09-12 00:00:00;2018;9;12;3
49797d3681f6ababcf70d81423eede2f58a7ba9864db6684b3928d0865a20833;2017-08-31 00:00:00;2017;8;31;3
d2eee9ab7a5c987137c7292bc31c076ac7270fdd2633a985fde945bde18398fc;2018-04-23 00:00:00;2018;4;23;2
153bb974bfd82f1a2efc8b28024df28d42bbf2075070a6c41221a7751de1e4a0;2019-03-18 00:00:00;2019;3;18;1
079b102156fbb8969aa720456a1008bdec7105172c5cffcb8e9415705907e97b;2019-03-17 00:00:00;2019;3;17;1
86814f8a8ff60552e0d59c08931dd0da66ba8eb99dda43e90d2088279decbd70;2018-03-19 00:00:00;2018;3;19;1
b8dee7154efd65edae3bfe746daec35424c9117219d2ebb61799e48de82d2e0f;2018-05-28 00:00:00;2018;5;28;2
abc33ca1485cf6d0e275f3e6c8eeb005b4fd380e0374c92445b1e92d4d7493ab;2018-03-11 00:00:00;2018;3;11;1
5d92e1793c4897fb11f242bc870e6d3487f58c2814740fb7770c7e740b5cb342;2017-12-21 00:00:00;2017;12;21;4
e507f4805810f3fb6e0de64ae4fc1c39fce1bc86caeb3406b1e870bc5efe8a58;2018-11-19 00:00:00;2018;11;19;4
42fb682b7143807fecb87742e0760e2d776e0093a786570b8394bd2482da3165;2019-02-20 00:00:00;2019;2;20;1
86772c038f50e0a4e15e8d5a73a099ca322254bed36dadfa2a5e2ecad5369f7b;2018-11-11 00:00:00;2018;11;11;4
255b35dd007de477069dd6d57a63207f941f9c8d28e862282e0c44b17cd2b045;2017-02-18 00:00:00;2017;2;18;1
60a682e66e3a67dc25865a03cb35702ae0b038315ee4aa652f8df44621cca141;2018-06-09 00:00:00;2018;6;9;2
fdc8c161217baeffab2ee8e9afc0401fe0d71c9fd835b963ec9d6d91550d8230;2018-12-01 00:00:00;2018;12;1;4
3ae6879d48d1a53551e36a0b07ef3587d16c1cd6397e9602bf840137fa415fd1;2017-12-13 00:00:00;2017;12;13;4
e663a29790e4ca2fd023abe9ea1e4cbfc4355f4eb283458c093fb288567702ea;2018-02-27 00:00:00;2018;2;27;1
287547d845bd60495474367088a98d228f97dd14475a8f557d0df75126606af7;2017-09-14 00:00:00;2017;9;14;3
83909966c25cf699178b94e816cd73c385a59cf399d00483cdb4eebac9f2fd37;2017-03-23 00:00:00;2017;3;23;1
